workload,allocator,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
2,mine,1,ramp-1B..8KB,bulk-then-free,4,400000,5.19,0.00,0.00,19.46,0.00,0.75,0.00,342976,0,45358,0
2,mine,2,ramp-1B..8KB,bulk-then-free,4,400000,4.68,0.00,0.00,17.63,0.00,0.42,0.00,339580,0,44634,0
2,mine,3,ramp-1B..8KB,bulk-then-free,4,400000,4.86,0.00,0.00,18.10,0.00,0.44,0.00,338428,0,44356,0
2,mine,4,ramp-1B..8KB,bulk-then-free,4,400000,5.06,0.00,0.00,19.13,0.00,0.49,0.00,332928,0,41112,0
2,mine,5,ramp-1B..8KB,bulk-then-free,4,400000,5.09,0.00,0.00,19.14,0.00,0.48,0.00,335832,0,41868,0
2,sys,1,ramp-1B..8KB,bulk-then-free,4,400000,0.00,5.13,0.00,0.00,19.15,0.00,3.18,0,197660,0,23509
2,sys,2,ramp-1B..8KB,bulk-then-free,4,400000,0.00,5.06,0.00,0.00,18.44,0.00,1.68,0,165100,0,13341
2,sys,3,ramp-1B..8KB,bulk-then-free,4,400000,0.00,5.14,0.00,0.00,18.95,0.00,1.57,0,165016,0,14616
2,sys,4,ramp-1B..8KB,bulk-then-free,4,400000,0.00,5.13,0.00,0.00,19.28,0.00,1.63,0,165244,0,14983
2,sys,5,ramp-1B..8KB,bulk-then-free,4,400000,0.00,5.09,0.00,0.00,18.65,0.00,1.29,0,165172,0,13189
4,mine,1,ramp-1B..8KB,interleaved,4,400000,4.12,0.00,0.00,15.32,0.00,0.29,0.00,247304,0,41930,0
4,mine,2,ramp-1B..8KB,interleaved,4,400000,4.22,0.00,0.00,15.83,0.00,0.37,0.00,253748,0,41485,0
4,mine,3,ramp-1B..8KB,interleaved,4,400000,4.32,0.00,0.00,15.73,0.00,0.29,0.00,255428,0,44022,0
4,mine,4,ramp-1B..8KB,interleaved,4,400000,4.27,0.00,0.00,15.66,0.00,0.36,0.00,253652,0,42828,0
4,mine,5,ramp-1B..8KB,interleaved,4,400000,4.13,0.00,0.00,15.13,0.00,0.81,0.00,250508,0,42212,0
4,sys,1,ramp-1B..8KB,interleaved,4,400000,0.00,2.06,0.00,0.00,7.39,0.00,0.09,0,12924,0,960
4,sys,2,ramp-1B..8KB,interleaved,4,400000,0.00,2.01,0.00,0.00,7.26,0.00,0.37,0,12816,0,958
4,sys,3,ramp-1B..8KB,interleaved,4,400000,0.00,1.99,0.00,0.00,7.18,0.00,0.36,0,12752,0,1012
4,sys,4,ramp-1B..8KB,interleaved,4,400000,0.00,2.14,0.00,0.00,7.53,0.00,0.18,0,12092,0,772
4,sys,5,ramp-1B..8KB,interleaved,4,400000,0.00,2.01,0.00,0.00,7.29,0.00,0.12,0,12844,0,936
5,mine,1,classstep-dwell1,interleaved,4,400000,1.20,0.00,0.00,3.99,0.00,0.08,0.00,95988,0,298,0
5,mine,2,classstep-dwell1,interleaved,4,400000,1.17,0.00,0.00,3.91,0.00,0.09,0.00,94532,0,299,0
5,mine,3,classstep-dwell1,interleaved,4,400000,1.20,0.00,0.00,4.01,0.00,0.08,0.00,84488,0,299,0
5,mine,4,classstep-dwell1,interleaved,4,400000,1.20,0.00,0.00,3.96,0.00,0.07,0.00,90212,0,302,0
5,mine,5,classstep-dwell1,interleaved,4,400000,1.19,0.00,0.00,3.98,0.00,0.05,0.00,98280,0,297,0
5,sys,1,classstep-dwell1,interleaved,4,400000,0.00,1.08,0.00,0.00,3.52,0.00,0.14,0,7456,0,467
5,sys,2,classstep-dwell1,interleaved,4,400000,0.00,1.07,0.00,0.00,3.48,0.00,0.02,0,7560,0,495
5,sys,3,classstep-dwell1,interleaved,4,400000,0.00,1.06,0.00,0.00,3.46,0.00,0.02,0,7416,0,462
5,sys,4,classstep-dwell1,interleaved,4,400000,0.00,1.07,0.00,0.00,3.47,0.00,0.08,0,7516,0,483
5,sys,5,classstep-dwell1,interleaved,4,400000,0.00,1.08,0.00,0.00,3.52,0.00,0.03,0,7476,0,459
