workload,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
1,1,fixed-16B,bulk-then-free,4,400000,3.23,0.69,0.22,11.33,1.95,0.27,0.04,8476,8476,390,516
1,2,fixed-16B,bulk-then-free,4,400000,3.14,0.73,0.23,11.14,2.08,0.28,0.15,8812,8812,374,584
1,3,fixed-16B,bulk-then-free,4,400000,3.03,0.74,0.24,10.49,2.00,0.23,0.06,8424,8484,346,549
1,4,fixed-16B,bulk-then-free,4,400000,3.15,0.80,0.25,11.16,2.07,0.17,0.10,8764,8824,374,615
1,5,fixed-16B,bulk-then-free,4,400000,3.17,0.75,0.24,11.00,2.08,0.14,0.17,8848,8848,374,649
2,1,ramp-1B..8KB,bulk-then-free,4,400000,5.55,5.45,0.98,20.37,20.52,0.54,1.41,499180,499228,44010,13150
2,2,ramp-1B..8KB,bulk-then-free,4,400000,5.00,5.61,1.12,18.59,21.01,0.60,1.89,536808,536848,45833,21554
2,3,ramp-1B..8KB,bulk-then-free,4,400000,5.13,5.19,1.01,19.29,19.14,0.55,1.47,495380,495432,43472,13801
2,4,ramp-1B..8KB,bulk-then-free,4,400000,5.33,5.30,0.99,20.06,19.65,0.44,2.17,503492,503612,44911,13446
2,5,ramp-1B..8KB,bulk-then-free,4,400000,4.83,5.13,1.06,18.13,19.09,0.35,0.89,497340,497428,42997,13351
3,1,fixed-16B,interleaved,4,400000,1.10,0.61,0.56,3.52,1.70,0.06,0.04,5780,5780,295,238
3,2,fixed-16B,interleaved,4,400000,1.08,0.62,0.58,3.56,1.70,0.06,0.01,5724,5724,282,240
3,3,fixed-16B,interleaved,4,400000,1.08,0.61,0.57,3.54,1.71,0.06,0.01,5784,5784,295,238
3,4,fixed-16B,interleaved,4,400000,1.08,0.62,0.57,3.54,1.71,0.04,0.08,5780,5780,297,238
3,5,fixed-16B,interleaved,4,400000,1.09,0.62,0.57,3.57,1.71,0.06,0.05,5776,5776,295,238
4,1,ramp-1B..8KB,interleaved,4,400000,4.15,2.04,0.49,14.98,7.24,0.40,0.10,256764,256852,41878,1020
4,2,ramp-1B..8KB,interleaved,4,400000,4.21,2.06,0.49,15.36,7.32,0.36,0.09,262352,262400,43362,865
4,3,ramp-1B..8KB,interleaved,4,400000,4.24,2.13,0.50,15.63,7.43,0.43,0.10,262972,263044,42503,931
4,4,ramp-1B..8KB,interleaved,4,400000,4.39,2.08,0.47,16.11,7.40,0.35,0.09,264012,264084,45279,906
4,5,ramp-1B..8KB,interleaved,4,400000,4.29,2.05,0.48,15.68,7.39,0.40,0.14,259624,259680,41910,952
5,1,classstep-dwell1,interleaved,4,400000,1.19,1.07,0.90,3.94,3.54,0.06,0.03,92880,92880,294,464
5,2,classstep-dwell1,interleaved,4,400000,1.18,1.06,0.90,3.95,3.52,0.11,0.26,92320,92320,297,448
5,3,classstep-dwell1,interleaved,4,400000,1.18,1.12,0.95,3.96,3.59,0.04,0.09,95872,95872,295,484
5,4,classstep-dwell1,interleaved,4,400000,1.17,1.11,0.95,3.92,3.61,0.08,0.03,93468,93468,294,494
5,5,classstep-dwell1,interleaved,4,400000,1.18,1.07,0.91,3.92,3.52,0.06,0.02,96356,96356,318,469
