workload,allocator,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
2,mine,1,ramp-1B..8KB,bulk-then-free,4,400000,4.61,0.00,0.00,17.40,0.00,0.35,0.00,344416,0,41365,0
2,mine,2,ramp-1B..8KB,bulk-then-free,4,400000,4.52,0.00,0.00,17.00,0.00,0.36,0.00,341360,0,41237,0
2,mine,3,ramp-1B..8KB,bulk-then-free,4,400000,4.63,0.00,0.00,17.47,0.00,0.54,0.00,343328,0,41610,0
2,mine,4,ramp-1B..8KB,bulk-then-free,4,400000,4.56,0.00,0.00,17.21,0.00,0.53,0.00,338344,0,40879,0
2,mine,5,ramp-1B..8KB,bulk-then-free,4,400000,4.66,0.00,0.00,17.52,0.00,0.51,0.00,340712,0,40366,0
2,sys,1,ramp-1B..8KB,bulk-then-free,4,400000,0.00,6.43,0.00,0.00,23.37,0.00,0.75,0,160564,0,12132
2,sys,2,ramp-1B..8KB,bulk-then-free,4,400000,0.00,6.25,0.00,0.00,23.38,0.00,0.50,0,162496,0,12798
2,sys,3,ramp-1B..8KB,bulk-then-free,4,400000,0.00,6.07,0.00,0.00,22.57,0.00,0.56,0,160584,0,11575
2,sys,4,ramp-1B..8KB,bulk-then-free,4,400000,0.00,6.19,0.00,0.00,23.08,0.00,0.51,0,159892,0,11810
2,sys,5,ramp-1B..8KB,bulk-then-free,4,400000,0.00,6.48,0.00,0.00,23.92,0.00,0.57,0,157960,0,11875
4,mine,1,ramp-1B..8KB,interleaved,4,400000,3.62,0.00,0.00,13.34,0.00,0.31,0.00,260752,0,40585,0
4,mine,2,ramp-1B..8KB,interleaved,4,400000,3.78,0.00,0.00,13.66,0.00,0.31,0.00,260508,0,43638,0
4,mine,3,ramp-1B..8KB,interleaved,4,400000,3.56,0.00,0.00,12.85,0.00,0.10,0.00,256296,0,42025,0
4,mine,4,ramp-1B..8KB,interleaved,4,400000,3.64,0.00,0.00,13.64,0.00,0.35,0.00,257468,0,42235,0
4,mine,5,ramp-1B..8KB,interleaved,4,400000,3.61,0.00,0.00,13.46,0.00,0.25,0.00,260796,0,41737,0
4,sys,1,ramp-1B..8KB,interleaved,4,400000,0.00,1.57,0.00,0.00,5.44,0.00,0.16,0,25792,0,2810
4,sys,2,ramp-1B..8KB,interleaved,4,400000,0.00,1.52,0.00,0.00,5.18,0.00,0.14,0,25652,0,2615
4,sys,3,ramp-1B..8KB,interleaved,4,400000,0.00,1.51,0.00,0.00,5.23,0.00,0.28,0,25472,0,2827
4,sys,4,ramp-1B..8KB,interleaved,4,400000,0.00,1.57,0.00,0.00,5.31,0.00,0.24,0,26076,0,2806
4,sys,5,ramp-1B..8KB,interleaved,4,400000,0.00,1.53,0.00,0.00,5.22,0.00,0.22,0,25516,0,2749
5,mine,1,classstep-dwell1,interleaved,4,400000,1.33,0.00,0.00,4.36,0.00,0.10,0.00,103260,0,316,0
5,mine,2,classstep-dwell1,interleaved,4,400000,1.34,0.00,0.00,4.45,0.00,0.20,0.00,102872,0,288,0
5,mine,3,classstep-dwell1,interleaved,4,400000,1.28,0.00,0.00,4.21,0.00,0.09,0.00,102976,0,285,0
5,mine,4,classstep-dwell1,interleaved,4,400000,1.29,0.00,0.00,4.24,0.00,0.05,0.00,103184,0,317,0
5,mine,5,classstep-dwell1,interleaved,4,400000,1.27,0.00,0.00,4.16,0.00,0.14,0.00,102624,0,284,0
5,sys,1,classstep-dwell1,interleaved,4,400000,0.00,0.96,0.00,0.00,3.17,0.00,0.08,0,10960,0,472
5,sys,2,classstep-dwell1,interleaved,4,400000,0.00,0.94,0.00,0.00,3.11,0.00,0.13,0,10988,0,475
5,sys,3,classstep-dwell1,interleaved,4,400000,0.00,0.94,0.00,0.00,3.10,0.00,0.06,0,11156,0,478
5,sys,4,classstep-dwell1,interleaved,4,400000,0.00,0.94,0.00,0.00,3.11,0.00,0.01,0,11040,0,497
5,sys,5,classstep-dwell1,interleaved,4,400000,0.00,0.95,0.00,0.00,3.09,0.00,0.10,0,11128,0,440
