workload,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
1,1,fixed-16B,bulk-then-free,4,400000,3.33,1.51,0.45,11.67,4.76,0.28,0.11,10320,10332,342,290
1,2,fixed-16B,bulk-then-free,4,400000,3.15,1.42,0.45,11.03,4.50,0.28,0.23,10364,10364,342,292
1,3,fixed-16B,bulk-then-free,4,400000,3.17,1.40,0.44,11.74,4.48,0.23,0.08,10408,10408,380,284
1,4,fixed-16B,bulk-then-free,4,400000,3.56,1.69,0.48,12.58,5.33,0.46,0.27,10360,10360,318,267
1,5,fixed-16B,bulk-then-free,4,400000,2.95,1.41,0.48,10.62,4.47,0.23,0.06,10332,10332,347,307
2,1,ramp-1B..8KB,bulk-then-free,4,400000,4.69,6.91,1.47,17.69,26.09,0.57,0.75,500108,500984,42316,12509
2,2,ramp-1B..8KB,bulk-then-free,4,400000,4.63,6.63,1.43,17.48,24.86,0.54,0.66,493908,496320,40975,12679
2,3,ramp-1B..8KB,bulk-then-free,4,400000,4.69,6.70,1.43,17.62,25.03,0.54,0.67,498356,499192,42119,12859
2,4,ramp-1B..8KB,bulk-then-free,4,400000,4.90,6.91,1.41,18.43,25.81,0.63,0.99,507856,508464,44194,13360
2,5,ramp-1B..8KB,bulk-then-free,4,400000,4.77,5.97,1.25,18.09,22.22,0.50,0.96,497140,497276,41507,12628
3,1,fixed-16B,interleaved,4,400000,1.08,0.76,0.71,3.58,2.35,0.07,0.16,8828,8828,288,240
3,2,fixed-16B,interleaved,4,400000,1.09,0.82,0.76,3.55,2.54,0.05,0.07,8812,8824,284,244
3,3,fixed-16B,interleaved,4,400000,1.13,0.82,0.72,3.74,2.52,0.16,0.13,8824,8832,285,240
3,4,fixed-16B,interleaved,4,400000,1.12,0.79,0.70,3.74,2.41,0.28,0.03,8828,8836,286,242
3,5,fixed-16B,interleaved,4,400000,1.10,0.81,0.74,3.75,2.50,0.12,0.12,8828,8844,281,240
4,1,ramp-1B..8KB,interleaved,4,400000,3.86,1.64,0.43,13.63,5.69,0.22,0.12,270840,270936,41083,2661
4,2,ramp-1B..8KB,interleaved,4,400000,3.64,1.51,0.41,13.38,5.22,0.29,0.13,278660,278728,42004,2701
4,3,ramp-1B..8KB,interleaved,4,400000,3.61,1.49,0.41,13.31,5.14,0.26,0.18,275968,276096,41407,2685
4,4,ramp-1B..8KB,interleaved,4,400000,3.68,1.50,0.41,13.35,5.16,0.32,0.19,273228,273516,40101,2953
4,5,ramp-1B..8KB,interleaved,4,400000,3.71,1.52,0.41,13.62,5.20,0.28,0.13,279496,279812,41267,2632
5,1,classstep-dwell1,interleaved,4,400000,1.32,0.94,0.71,4.31,3.07,0.04,0.04,106960,106960,284,495
5,2,classstep-dwell1,interleaved,4,400000,1.29,0.94,0.72,4.20,3.10,0.04,0.13,102528,102528,291,479
5,3,classstep-dwell1,interleaved,4,400000,1.29,0.97,0.75,4.24,3.17,0.04,0.05,105236,105248,281,584
5,4,classstep-dwell1,interleaved,4,400000,1.27,0.94,0.74,4.27,3.06,0.04,0.12,106468,106468,285,487
5,5,classstep-dwell1,interleaved,4,400000,1.31,0.97,0.74,4.34,3.14,0.19,0.08,105068,105068,285,543
