workload,allocator,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
2,mine,1,ramp-1B..8KB,bulk-then-free,4,400000,5.08,0.00,0.00,19.28,0.00,0.52,0.00,340808,0,44333,0
2,mine,2,ramp-1B..8KB,bulk-then-free,4,400000,5.20,0.00,0.00,19.36,0.00,0.59,0.00,339876,0,44314,0
2,mine,3,ramp-1B..8KB,bulk-then-free,4,400000,5.36,0.00,0.00,20.25,0.00,0.63,0.00,340736,0,44238,0
2,mine,4,ramp-1B..8KB,bulk-then-free,4,400000,5.19,0.00,0.00,19.51,0.00,0.64,0.00,340596,0,45993,0
2,mine,5,ramp-1B..8KB,bulk-then-free,4,400000,4.86,0.00,0.00,18.44,0.00,0.53,0.00,332228,0,42157,0
2,sys,1,ramp-1B..8KB,bulk-then-free,4,400000,0.00,50.66,0.00,0.00,179.45,0.00,21.19,0,141456,0,559403
2,sys,2,ramp-1B..8KB,bulk-then-free,4,400000,0.00,51.09,0.00,0.00,179.50,0.00,18.13,0,139012,0,543446
2,sys,3,ramp-1B..8KB,bulk-then-free,4,400000,0.00,47.79,0.00,0.00,168.91,0.00,26.67,0,139252,0,512820
2,sys,4,ramp-1B..8KB,bulk-then-free,4,400000,0.00,50.39,0.00,0.00,178.27,0.00,18.86,0,138560,0,546880
2,sys,5,ramp-1B..8KB,bulk-then-free,4,400000,0.00,48.76,0.00,0.00,171.95,0.00,19.26,0,145188,0,527894
4,mine,1,ramp-1B..8KB,interleaved,4,400000,4.17,0.00,0.00,15.50,0.00,0.29,0.00,254604,0,41982,0
4,mine,2,ramp-1B..8KB,interleaved,4,400000,4.18,0.00,0.00,15.24,0.00,0.38,0.00,250772,0,41858,0
4,mine,3,ramp-1B..8KB,interleaved,4,400000,4.25,0.00,0.00,15.70,0.00,0.48,0.00,251680,0,41300,0
4,mine,4,ramp-1B..8KB,interleaved,4,400000,4.25,0.00,0.00,15.56,0.00,0.36,0.00,250092,0,41066,0
4,mine,5,ramp-1B..8KB,interleaved,4,400000,4.24,0.00,0.00,15.90,0.00,0.33,0.00,254604,0,42953,0
4,sys,1,ramp-1B..8KB,interleaved,4,400000,0.00,7.59,0.00,0.00,27.96,0.00,1.04,0,26488,0,32793
4,sys,2,ramp-1B..8KB,interleaved,4,400000,0.00,7.95,0.00,0.00,30.44,0.00,1.18,0,24640,0,31665
4,sys,3,ramp-1B..8KB,interleaved,4,400000,0.00,6.74,0.00,0.00,25.23,0.00,1.31,0,28224,0,24432
4,sys,4,ramp-1B..8KB,interleaved,4,400000,0.00,7.34,0.00,0.00,27.41,0.00,1.22,0,27244,0,29124
4,sys,5,ramp-1B..8KB,interleaved,4,400000,0.00,6.97,0.00,0.00,26.63,0.00,1.18,0,26568,0,24206
5,mine,1,classstep-dwell1,interleaved,4,400000,1.20,0.00,0.00,4.05,0.00,0.09,0.00,92100,0,318,0
5,mine,2,classstep-dwell1,interleaved,4,400000,1.29,0.00,0.00,4.26,0.00,0.25,0.00,95356,0,318,0
5,mine,3,classstep-dwell1,interleaved,4,400000,1.22,0.00,0.00,4.05,0.00,0.08,0.00,91296,0,319,0
5,mine,4,classstep-dwell1,interleaved,4,400000,1.24,0.00,0.00,4.17,0.00,0.04,0.00,91128,0,316,0
5,mine,5,classstep-dwell1,interleaved,4,400000,1.23,0.00,0.00,4.01,0.00,0.16,0.00,92756,0,318,0
5,sys,1,classstep-dwell1,interleaved,4,400000,0.00,26.93,0.00,0.00,104.84,0.00,2.32,0,12112,0,40640
5,sys,2,classstep-dwell1,interleaved,4,400000,0.00,27.37,0.00,0.00,105.26,0.00,3.31,0,11780,0,43296
5,sys,3,classstep-dwell1,interleaved,4,400000,0.00,25.77,0.00,0.00,100.50,0.00,2.60,0,12592,0,29983
5,sys,4,classstep-dwell1,interleaved,4,400000,0.00,26.56,0.00,0.00,104.82,0.00,1.92,0,11944,0,30262
5,sys,5,classstep-dwell1,interleaved,4,400000,0.00,26.15,0.00,0.00,101.06,0.00,2.04,0,11556,0,26792
