workload,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
1,1,fixed-16B,bulk-then-free,4,400000,3.14,4.64,1.48,11.33,16.04,0.18,0.32,7012,7180,1067,13773
1,2,fixed-16B,bulk-then-free,4,400000,3.28,4.45,1.36,12.10,16.05,0.17,0.58,6720,6728,1039,11558
1,3,fixed-16B,bulk-then-free,4,400000,3.08,4.24,1.38,11.10,15.73,0.14,0.68,6760,6768,1033,13240
1,4,fixed-16B,bulk-then-free,4,400000,3.03,4.19,1.38,11.18,15.27,0.33,0.22,6700,6820,1036,11564
1,5,fixed-16B,bulk-then-free,4,400000,3.13,4.31,1.38,11.39,15.29,0.21,0.34,6724,6944,1036,11245
2,1,ramp-1B..8KB,bulk-then-free,4,400000,5.14,47.90,9.31,19.41,170.09,0.77,22.14,445068,476380,42397,481602
2,2,ramp-1B..8KB,bulk-then-free,4,400000,5.38,47.75,8.87,20.46,168.98,0.75,32.76,437464,479804,46639,538697
2,3,ramp-1B..8KB,bulk-then-free,4,400000,5.02,51.87,10.32,18.98,185.94,0.62,20.09,424712,480140,44725,567865
2,4,ramp-1B..8KB,bulk-then-free,4,400000,5.11,48.51,9.49,19.34,171.26,0.77,26.92,415364,471980,42330,583775
2,5,ramp-1B..8KB,bulk-then-free,4,400000,5.39,46.89,8.71,20.01,167.08,0.77,21.45,424496,480932,45924,545471
3,1,fixed-16B,interleaved,4,400000,1.07,2.89,2.70,3.57,10.77,0.10,0.08,4388,4388,318,269
3,2,fixed-16B,interleaved,4,400000,1.06,2.92,2.75,3.55,10.73,0.07,0.19,4384,4396,317,281
3,3,fixed-16B,interleaved,4,400000,1.10,2.91,2.64,3.61,10.67,0.06,0.07,4392,4396,320,271
3,4,fixed-16B,interleaved,4,400000,1.07,2.89,2.69,3.65,10.72,0.06,0.09,4396,4396,316,267
3,5,fixed-16B,interleaved,4,400000,1.07,2.88,2.69,3.56,10.75,0.11,0.10,4392,4392,315,270
4,1,ramp-1B..8KB,interleaved,4,400000,4.14,7.48,1.80,15.13,28.41,0.30,1.29,269160,270828,41931,29191
4,2,ramp-1B..8KB,interleaved,4,400000,4.43,7.41,1.67,16.34,28.60,0.28,1.05,275388,275604,43778,23406
4,3,ramp-1B..8KB,interleaved,4,400000,4.11,6.92,1.68,15.25,26.05,0.38,0.94,271560,273840,43470,22924
4,4,ramp-1B..8KB,interleaved,4,400000,4.18,7.22,1.73,15.48,27.19,0.19,1.37,276380,276640,43048,26616
4,5,ramp-1B..8KB,interleaved,4,400000,4.32,6.95,1.61,15.87,25.92,0.30,1.02,274140,275424,42849,23932
5,1,classstep-dwell1,interleaved,4,400000,1.16,25.82,22.32,3.92,101.07,0.06,5.03,98948,98948,301,49458
5,2,classstep-dwell1,interleaved,4,400000,1.20,25.94,21.56,3.96,100.80,0.15,2.77,101320,101368,375,35130
5,3,classstep-dwell1,interleaved,4,400000,1.13,26.78,23.66,3.82,103.40,0.12,2.75,98068,98912,303,38845
5,4,classstep-dwell1,interleaved,4,400000,1.18,26.22,22.22,3.87,103.14,0.13,5.43,93904,94328,294,46739
5,5,classstep-dwell1,interleaved,4,400000,1.13,26.51,23.44,3.85,103.35,0.04,2.67,105964,105964,302,40695
