workload,allocator,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
2,mine,1,ramp-1B..8KB,bulk-then-free,4,400000,5.30,0.00,0.00,20.00,0.00,0.60,0.00,335116,0,44219,0
2,mine,2,ramp-1B..8KB,bulk-then-free,4,400000,4.98,0.00,0.00,18.62,0.00,0.48,0.00,336388,0,43115,0
2,mine,3,ramp-1B..8KB,bulk-then-free,4,400000,5.07,0.00,0.00,19.23,0.00,0.57,0.00,340860,0,43608,0
2,mine,4,ramp-1B..8KB,bulk-then-free,4,400000,5.29,0.00,0.00,20.09,0.00,0.52,0.00,340096,0,45036,0
2,mine,5,ramp-1B..8KB,bulk-then-free,4,400000,5.12,0.00,0.00,19.40,0.00,0.51,0.00,334512,0,44170,0
2,sys,1,ramp-1B..8KB,bulk-then-free,4,400000,0.00,48.47,0.00,0.00,169.86,0.00,23.12,0,139800,0,530608
2,sys,2,ramp-1B..8KB,bulk-then-free,4,400000,0.00,50.75,0.00,0.00,181.22,0.00,24.73,0,134724,0,537148
2,sys,3,ramp-1B..8KB,bulk-then-free,4,400000,0.00,48.75,0.00,0.00,170.71,0.00,15.00,0,139208,0,543162
2,sys,4,ramp-1B..8KB,bulk-then-free,4,400000,0.00,52.61,0.00,0.00,185.93,0.00,17.45,0,133180,0,549514
2,sys,5,ramp-1B..8KB,bulk-then-free,4,400000,0.00,55.32,0.00,0.00,195.95,0.00,26.48,0,140712,0,597704
4,mine,1,ramp-1B..8KB,interleaved,4,400000,3.75,0.00,0.00,13.96,0.00,0.33,0.00,256780,0,41346,0
4,mine,2,ramp-1B..8KB,interleaved,4,400000,4.40,0.00,0.00,16.02,0.00,0.40,0.00,250064,0,42099,0
4,mine,3,ramp-1B..8KB,interleaved,4,400000,4.34,0.00,0.00,15.91,0.00,0.35,0.00,250308,0,42085,0
4,mine,4,ramp-1B..8KB,interleaved,4,400000,4.12,0.00,0.00,15.75,0.00,0.38,0.00,252296,0,43029,0
4,mine,5,ramp-1B..8KB,interleaved,4,400000,4.30,0.00,0.00,15.64,0.00,0.36,0.00,251928,0,42069,0
4,sys,1,ramp-1B..8KB,interleaved,4,400000,0.00,7.01,0.00,0.00,26.09,0.00,1.30,0,27556,0,23109
4,sys,2,ramp-1B..8KB,interleaved,4,400000,0.00,7.60,0.00,0.00,27.96,0.00,0.92,0,24484,0,27984
4,sys,3,ramp-1B..8KB,interleaved,4,400000,0.00,7.05,0.00,0.00,26.45,0.00,1.15,0,23548,0,26615
4,sys,4,ramp-1B..8KB,interleaved,4,400000,0.00,6.80,0.00,0.00,26.09,0.00,1.06,0,25680,0,22291
4,sys,5,ramp-1B..8KB,interleaved,4,400000,0.00,7.29,0.00,0.00,27.01,0.00,1.27,0,30720,0,29889
5,mine,1,classstep-dwell1,interleaved,4,400000,1.20,0.00,0.00,4.15,0.00,0.10,0.00,89904,0,320,0
5,mine,2,classstep-dwell1,interleaved,4,400000,1.22,0.00,0.00,4.15,0.00,0.09,0.00,87244,0,307,0
5,mine,3,classstep-dwell1,interleaved,4,400000,1.23,0.00,0.00,4.15,0.00,0.17,0.00,89772,0,309,0
5,mine,4,classstep-dwell1,interleaved,4,400000,1.19,0.00,0.00,4.06,0.00,0.13,0.00,87764,0,301,0
5,mine,5,classstep-dwell1,interleaved,4,400000,1.17,0.00,0.00,4.04,0.00,0.16,0.00,85612,0,312,0
5,sys,1,classstep-dwell1,interleaved,4,400000,0.00,26.75,0.00,0.00,102.48,0.00,4.95,0,11712,0,37335
5,sys,2,classstep-dwell1,interleaved,4,400000,0.00,26.91,0.00,0.00,105.25,0.00,1.41,0,11184,0,36352
5,sys,3,classstep-dwell1,interleaved,4,400000,0.00,26.48,0.00,0.00,103.62,0.00,2.92,0,11596,0,31869
5,sys,4,classstep-dwell1,interleaved,4,400000,0.00,26.77,0.00,0.00,103.68,0.00,2.44,0,10416,0,39927
5,sys,5,classstep-dwell1,interleaved,4,400000,0.00,26.63,0.00,0.00,104.28,0.00,2.57,0,11324,0,32749
