workload,run,size,pattern,threads,ops,mine_wall_ms,sys_wall_ms,speedup_wall,mine_thread_ms,sys_thread_ms,mine_wall_sd,sys_wall_sd,peak_rss_kib_mine,peak_rss_kib_sys,faults_mine,faults_sys
1,1,fixed-16B,bulk-then-free,4,400000,3.17,3.98,1.25,11.29,14.21,0.24,0.19,6352,6472,1053,10316
1,2,fixed-16B,bulk-then-free,4,400000,3.11,4.23,1.36,11.16,15.76,0.31,0.42,6472,6644,1023,13952
1,3,fixed-16B,bulk-then-free,4,400000,3.15,4.27,1.35,11.60,15.60,0.31,0.27,6336,6456,1006,13729
1,4,fixed-16B,bulk-then-free,4,400000,3.08,4.23,1.37,11.41,15.49,0.21,0.37,6196,6236,1018,14144
1,5,fixed-16B,bulk-then-free,4,400000,2.97,3.93,1.32,11.01,14.42,0.38,0.43,6204,6204,1069,11060
2,1,ramp-1B..8KB,bulk-then-free,4,400000,5.32,50.65,9.52,20.19,176.71,0.75,42.92,426448,482440,43355,504680
2,2,ramp-1B..8KB,bulk-then-free,4,400000,5.52,55.73,10.10,20.70,199.31,0.81,32.38,414212,472424,43503,576259
2,3,ramp-1B..8KB,bulk-then-free,4,400000,5.71,52.94,9.27,21.76,181.79,1.01,25.23,422020,473588,43775,545752
2,4,ramp-1B..8KB,bulk-then-free,4,400000,5.34,56.11,10.51,19.91,198.67,0.86,24.40,408212,472500,44712,548903
2,5,ramp-1B..8KB,bulk-then-free,4,400000,5.35,50.30,9.41,20.06,177.22,0.67,19.83,408392,474688,44137,535079
3,1,fixed-16B,interleaved,4,400000,1.11,2.89,2.60,3.79,10.67,0.09,0.10,4000,4000,309,252
3,2,fixed-16B,interleaved,4,400000,1.11,2.83,2.56,3.75,10.65,0.04,0.10,3968,3976,305,257
3,3,fixed-16B,interleaved,4,400000,1.11,2.88,2.59,3.74,10.77,0.02,0.06,3976,3984,312,265
3,4,fixed-16B,interleaved,4,400000,1.14,2.95,2.59,3.88,10.89,0.10,0.19,3988,3992,315,273
3,5,fixed-16B,interleaved,4,400000,1.11,2.86,2.58,3.83,10.66,0.14,0.28,4032,4032,305,262
4,1,ramp-1B..8KB,interleaved,4,400000,4.30,7.36,1.71,15.90,28.46,0.38,1.22,269840,271068,40853,31587
4,2,ramp-1B..8KB,interleaved,4,400000,4.40,7.50,1.71,16.40,27.00,0.31,1.43,275000,277396,42944,30576
4,3,ramp-1B..8KB,interleaved,4,400000,3.84,7.71,2.01,14.37,29.65,0.70,1.04,272604,273256,42157,28620
4,4,ramp-1B..8KB,interleaved,4,400000,4.33,7.99,1.85,15.93,30.04,0.38,1.12,273440,277264,42027,35086
4,5,ramp-1B..8KB,interleaved,4,400000,4.30,7.63,1.77,16.02,29.47,0.44,0.99,277864,279428,43756,28415
5,1,classstep-dwell1,interleaved,4,400000,1.19,27.05,22.82,4.01,106.88,0.11,3.60,101212,101212,296,40208
5,2,classstep-dwell1,interleaved,4,400000,1.23,26.18,21.33,4.07,102.12,0.07,2.05,97920,97920,286,32114
5,3,classstep-dwell1,interleaved,4,400000,1.17,26.92,22.94,4.02,105.50,0.04,1.05,95480,95480,286,25600
5,4,classstep-dwell1,interleaved,4,400000,1.15,25.91,22.49,3.92,101.86,0.14,4.13,104848,104848,290,44396
5,5,classstep-dwell1,interleaved,4,400000,1.15,27.29,23.66,3.99,105.08,0.17,2.51,99020,99260,325,33779
